Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount
Single Family Residential,$29/month,2016,River Hills,,"$372,500",, 3, PLAINFIELD EAST HIGH SCHOOL,2197 Misty Creek Trl 60490,4.0,2.5,"3,238"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2, Full," Unfinished,Exterior Access,Bathroom Rough-In",,

Condo,$167/month,2004,Bolingbrook,,"$182,000",, 2, BOLINGBROOK HIGH SCHOOL,15 Black Oak Ct 60490,2.0,2.5,"1,438",,, 2, 1, 10, 0,,,," $4,942.42"

"Detached Single Family, 2 Stories",$17/month,2015,Bolingbrook,,"$388,000",, 3, PLAINFIELD EAST HIGH SCHOOL,1882 Great Plains Way 60490,4.0,2.5,"3,101",,, 2, 1, 12, 8,,,," $10,635"

"Detached Single Family, Raised Ranch",,1974,Bolingbrook,,"$255,000",, 2, Bolingbrook High School,457 Galahad Rd 60440,5.0,2.5,"1,387",,, 2, 1, 12, 4,,,," $7,256"

"Attached Single Family, Townhouse (2 Story)",$190/month,1976,Bolingbrook,,"$148,000",, 3, BOLINGBROOK HIGH SCHOOL,50 Fernwood Dr 60440,3.0,2,"1,314",,, 2,, 0, 0,,,," $2,641.78"

"Detached Single Family, 2 Stories",$13/month,2003,Bolingbrook,,"$267,250",, 2, BOLINGBROOK HIGH SCHOOL,182 Christine Way 60440,3.0,2.5,"2,713",,, 2, 1, 12, 0,,,," $11,130.60"

Townhouse,,2000,,,"$200,000",,,,1138 Lily Field Ln 60440,2.0,2.5,"1,780",,,,, 0, 0,,,,

Condo/Co-op,,2003,,,"$175,000",,,,137 Enclave Cir 60440,3.0,2,"1,072",,,,, 0, 0,,,,

"Detached Single Family, 1 Story",,1974,Bolingbrook,,"$140,100",, 2,,645 Cochise Cir 60440,4.0,2,"1,656",,, 3,, 4, 6,,,," $6,186"

"Detached Single Family, Raised Ranch",,1973,Bolingbrook,,"$233,000",, 2,,1 Devon Ct 60440,4.0,2,"1,950",,, 2,, 14, 0,,,," $5,530.54"

"Detached Single Family, 2 Stories",$28/month,2004,Bolingbrook,,"$340,000",, 2, Bolingbrook High School,384 Marshall Ash St 60490,4.0,2.5,"2,894",,, 2, 1, 10, 16,,,," $11,925.04"

"Detached Single Family, 2 Stories",$25/month,2002,Bolingbrook,,"$367,000",, 2, PLAINFIELD EAST HIGH SCHOOL,2049 Mark Cir 60490,4.0,4,"2,800",,, 4,, 14, 4,,,," $8,026.68"

"Detached Single Family, 2 Stories",,2000,Bolingbrook,,"$229,900",, 2,,1430 Hawk Dr 60490,4.0,2.5,"1,946",,, 2, 1, 4, 0,,,," $7,560"

"Detached Single Family, 2 Stories",$16/month,2012,Bolingbrook,,"$384,000",, 3, PLAINFIELD EAST HIGH SCHOOL,1903 Barrington Ave 60490,4.0,2.5,"2,960",,, 2, 1, 16, 2,,,," $9,840"

"Detached Single Family, 1.5 Story",,1975,Bolingbrook,,"$150,000",, 1,,359 Gehrig Cir 60440,3.0,1.5,"1,100",,, 1, 1, 12, 0,,,," $4,811.04"

Condo,$208/month,2003,Bolingbrook,,"$185,678",, 2,,146 Enclave Cir 60440,3.0,2.5,"1,517",,, 2, 1, 8, 0,,,," $3,973.40"

Condo/Co-op,,1976,,,"$140,000",,,,52d Fernwood Dr 60440,,1.5,"1,254",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",$17/month,2006,Bolingbrook,,"$355,000",, 3, Plainfield East High School,1951 Barrington Ave 60490,5.0,3,"4,100",,, 3,, 14, 6,,,," $13,075"

"Detached Single Family, 2 Stories",$25/month,2004,Bolingbrook,,"$365,000",, 3, Plainfield East High School,1320 Palisades Dr 60490,4.0,3,"3,214",,, 3,, 8, 14,,,," $9,233.50"

"Detached Single Family, 2 Stories",,1996,Bolingbrook,,"$330,000",, 2, NEUQUA VALLEY HIGH SCHOOL,1749 Apple Valley Rd 60490,4.0,2.5,"2,283",,, 2, 1, 14, 0,,,," $7,575"

Single Family Residential,,2003,,,"$335,000",,,,1704 Trails End Ln 60490,5.0,2.5,,,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",$13/month,2002,Bolingbrook,,"$288,000",, 2,,1557 Suncrest Ln 60490,3.0,2.5,"2,304",,, 2, 1, 14, 0,,,," $8,553"

"Attached Single Family, Townhouse (2 Story)",$177/month,1972,Bolingbrook,,"$163,500",, 1, BOLINGBROOK HIGH SCHOOL,181 Jeffrey Ln 60440,3.0,1.5,,,, 1, 1, 8, 0,,,," $3,683"

"Attached Single Family, Townhouse (2 Story)",$227/month,2010,Bolingbrook,,"$285,000",, 2,,1167 John Hancock Dr 60490,2.0,2.5,"2,013",,, 2, 1, 0, 4,,,," $5,992.46"

"Detached Single Family, Raised Ranch",,1973,Bolingbrook,,"$170,000",, 2,,2 Charlotte Ct 60440,4.0,2,"1,950",,, 2,, 0, 0,,,," $6,286.92"

"Detached Single Family, 2 Stories",$28/month,2005,Bolingbrook,,"$280,000",, 2, BOLINGBROOK HIGH SCHOOL,215 Tiger St 60490,4.0,2.5,"2,300",,, 2, 1, 8, 12,,,," $10,088.70"

"Detached Single Family, 2 Stories",,1995,Bolingbrook,,"$243,500",, 2, BOLINGBROOK HIGH SCHOOL,14 Callery Ct 60490,3.0,2.5,"1,743",,, 2, 1, 10, 0,,,," $7,464"

"Detached Single Family, Raised Ranch",,1976,Bolingbrook,,"$221,000",, 2.5,,152 Thackeray Dr 60440,3.0,2,"1,135",,, 2,, 6, 0,,,," $5,934.56"

"Attached Single Family, Townhouse (Ranch)",$237/month,2006,Bolingbrook,,"$365,000",, 2,,1174 Betsy Ross Pl 60490,3.0,3,"1,730",,, 3,, 10, 0,,,," $7,301.14"

"Detached Single Family, 2 Stories",$26/month,2004,Bolingbrook,,"$290,000",, 2,,289 Palmer Dr 60490,4.0,2.5,"2,470",,, 2, 1, 16, 6,,,," $10,539.72"

"Detached Single Family, Raised Ranch",,1972,Bolingbrook,,"$160,000",, 3, BOLINGBROOK HIGH SCHOOL,154 S Orchard Dr 60440,4.0,2,,,, 2,, 10, 2,,,," $5,241"

"Detached Single Family, 2 Stories",$25/month,2003,Bolingbrook,,"$282,000",, 2, BOLINGBROOK HIGH SCHOOL,186 Boxelder St 60490,4.0,2.5,"2,152",,, 2, 1, 14, 4,,,," $10,099.44"

"Detached Single Family, Raised Ranch",,1972,Bolingbrook,,"$145,500",, 1,,223 Lafayette Dr 60440,4.0,2,"1,700",,, 2,, 10, 0,,,," $5,809.74"

"Detached Single Family, Raised Ranch",,1971,Bolingbrook,,"$229,900",, 1,,143 Wedgewood Way 60440,4.0,2,"1,726",,, 2,, 10, 0,,,," $4,800"

Other,,2000,,,"$210,000",,,,5 Foxglove Ct 60440,,2.5,"1,967",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",,1976,Bolingbrook,,"$200,000",, 4,,392 Ingleside Dr 60490,4.0,2.5,"1,900",,, 2, 1, 6, 2,,,," $5,981.58"

"Detached Single Family, 2 Stories",$17/month,2006,Bolingbrook,,"$390,000",, 3, PLAINFIELD EAST HIGH SCHOOL,1923 Barrington Ave 60490,5.0,3.5,"3,343",,, 3, 1, 18, 4,,, 1653," $11,467.72"

"Detached Single Family, 2 Stories",,2000,Bolingbrook,,"$300,000",, 3, BOLINGBROOK HIGH SCHOOL,1137 Four Seasons Ln 60440,4.0,3.5,"2,215",,, 3, 1, 0, 0,,,," $9,424"

Condo/Co-op,,1977,,,"$134,900",,,,8 Fernwood Dr 60440,,1.5,"1,314",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",$29/month,2006,Bolingbrook,,"$485,000",, 3, NEUQUA VALLEY HIGH SCHOOL,1843 Snead St 60490,5.0,4,"5,062",,, 2, 2, 12, 16,,, 1738," $11,784.70"

"Detached Single Family, 2 Stories",$17/month,2006,Bolingbrook,,"$370,000",, 3, PLAINFIELD EAST HIGH SCHOOL,1922 Barrington Ave 60490,4.0,3,"3,988",,, 2, 2, 16, 4,,,," $12,611"

"Attached Single Family, Ground Level Ranch",$223/month,2017,Bolingbrook,,"$257,168",, 2,,1129 Mandalay Ln 60490,2.0,2,"1,459",,, 2,, 8, 0,,,,

"Detached Single Family, Raised Ranch",,1975,Bolingbrook,,"$201,000",, 2,,484 Rockhurst Rd 60440,3.0,1.5,"1,755",,, 1, 1, 4, 0,,,," $5,069"

"Detached Single Family, 2 Stories",$26/month,2003,Bolingbrook,,"$270,000",, 2,,1639 Boulder Ridge Dr 60490,4.0,2.5,"2,518",,, 2, 1, 4, 10,,,," $12,000.22"

"Detached Single Family, 2 Stories",,1980,Woodridge,,"$336,000",, 2, SOUTH HIGH SCHOOL,8424 Shagbark Ct 60517,3.0,2.5,"2,408",,, 2, 1, 2, 16,,,," $10,005"

"Detached Single Family, Split-Level with Sub-Basement",,1999,Bolingbrook,,"$245,000",, 2, BOLINGBROOK HIGH SCHOOL,150 Chestnut Ln 60490,3.0,2,"2,050",,, 2,, 16, 0,,,," $6,670.96"

"Detached Single Family, 2 Stories",$28/month,2004,Bolingbrook,,"$292,000",, 2, BOLINGBROOK HIGH SCHOOL,151 Holly St 60490,4.0,2.5,"2,267",,, 2, 1, 8, 10,,,," $10,292.74"

"Detached Single Family, 2 Stories",,1968,Bolingbrook,,"$220,000",, 13,,257 Jameson Ct 60440,5.0,2.5,"1,680",,, 2, 1, 0, 0,,,," $4,901.76"

"Detached Single Family, 2 Stories",,1974,Bolingbrook,,"$190,000",, 1,,444 Seminole Ln 60440,3.0,1.5,"1,760",,, 1, 1, 12, 0,,,," $5,466.10"

"Detached Single Family, 2 Stories",,1995,Bolingbrook,,"$324,000",, 2, NEUQUA VALLEY HIGH SCHOOL,170 Periwinkle Ln 60490,4.0,2.5,"2,167",,, 2, 1, 0, 0,,,," $7,474.96"

"Attached Single Family, Townhouse (Ranch), Townhouse (2 Story)",$178/month,1971,Bolingbrook,,"$177,000",, 1,,132 Leslie Ln 60440,2.0,2.5,"1,460",,, 2, 1, 0, 0,,,," $4,569"

"Detached Single Family, 2 Stories",,2000,Bolingbrook,,"$307,000",, 2,,328 Fox Bend Cir 60440,4.0,2.5,"2,572",,, 2, 1, 12, 8,,,," $9,429"

"Detached Single Family, Raised Ranch",,1978,Bolingbrook,,"$215,000",, 2, BOLINGBROOK HIGH SCHOOL,647 Chesapeake Dr 60440,3.0,2,"1,100",,, 2,, 6, 0,,,," $5,558.92"

"Detached Single Family, Split-Level",,1972,Bolingbrook,,"$269,900",, 2, Bolingbrook High School,251 Falconridge Way 60440,5.0,3,"1,387",,, 3,, 0, 14,,,," $6,626.94"

"Detached Single Family, 1 Story",,1961,Bolingbrook,,"$134,750",, 2, BOLINGBROOK HIGH SCHOOL,152 W Briarcliff Rd 60440,4.0,1.5,"1,162",,, 1, 1, 0, 0,,,," $4,626.10"

"Attached Single Family, Townhouse (2 Story)",$185/month,1999,Bolingbrook,,"$238,000",, 2,,510 Goodwin Dr 60440,3.0,3.5,"1,890",,, 3, 1, 10, 0,,,," $6,561.48"

"Attached Single Family, Townhouse (2 Story)",$140/month,1969,Bolingbrook,,"$133,500",, 2,,129 Somerset Ln 60440,3.0,1.5,"1,104",,, 1, 1, 0, 0,,,," $2,308.86"

"Detached Single Family, 2 Stories",,1995,Bolingbrook,,"$336,000",, 2, Neuqua Valley High School,1732 Maroon Bells Ln 60490,4.0,2.5,"2,425",,, 2, 1, 6, 8,,,," $8,183.42"

"Detached Single Family, 2 Stories",,2002,Bolingbrook,,"$201,000",, 2,,228 Lexington Dr 60440,4.0,2.5,"2,212",,, 2, 1, 0, 0,,,," $7,622.32"

"Detached Single Family, Raised Ranch",,,Bolingbrook,,"$207,900",, 2.5,,201 Pacific Dr 60440,5.0,2,"1,728",,, 2,, 12, 6,,,," $5,307"

"Attached Single Family, Townhouse (2 Story)",$187/month,1972,Bolingbrook,,"$153,000",, 1, BOLINGBROOK HIGH SCHOOL,537 Thomas Rd 60440,2.0,2.5,"1,320",,, 2, 1, 6, 8,,,," $3,720.24"

"Detached Single Family, Split-Level",,1970,Bolingbrook,,"$190,000",, 2, BOLINGBROOK HIGH SCHOOL,128 Richmond Dr 60440,4.0,2.5,"1,625",,, 2, 1, 6, 0,,,," $5,981.58"

"Detached Single Family, Split-Level",,1967,Bolingbrook,,"$184,800",, 4.5, BOLINGBROOK HIGH SCHOOL,345 Hadleigh Rd 60440,3.0,1,"1,348",,, 1,, 6, 0,,,," $4,091.52"

"Detached Single Family, 2 Stories",$13/month,2002,Bolingbrook,,"$400,000",, 3,,817 Barclay Dr 60440,5.0,3.5,"3,691",,, 3, 1, 0, 0,,, 1809," $12,038.32"

"Detached Single Family, Raised Ranch",,1978,Bolingbrook,,"$285,000",, 2, South High School,549 Buckingham Way 60440,3.0,2,"1,880",,, 2,, 10, 0,,,," $5,843"

"Detached Single Family, 2 Stories",$13/month,2004,Bolingbrook,,"$352,500",, 3, BOLINGBROOK HIGH SCHOOL,551 Barclay Dr 60440,5.0,4.5,"3,454",,, 4, 1, 12, 12,,,," $11,683.92"

"Detached Single Family, 2 Stories",$13/month,2002,Bolingbrook,,"$292,000",, 3,,1563 Farmside Ln 60490,4.0,3.5,"2,510",,, 3, 1, 8, 10,,,," $9,859.02"

"Detached Single Family, 2 Stories",,1964,Bolingbrook,,"$215,000",, 2, BOLINGBROOK HIGH SCHOOL,481 Rockhurst Rd 60440,4.0,2.5,"1,824",,, 2, 1, 10, 4,,,," $5,887"

"Detached Single Family, 2 Stories",$29/month,2006,Bolingbrook,,"$570,000",, 3, NEUQUA VALLEY HIGH SCHOOL,1826 Pampas Cir 60490,4.0,4,"3,544",,, 4,, 12, 16,,,," $13,175.08"

"Detached Single Family, 2 Stories",,2003,Bolingbrook,,"$205,000",, 2,,14 Franklin Ct 60440,4.0,2.5,,,, 2, 1, 0, 0,,,," $10,061.20"

"Detached Single Family, 1 Story",,1969,Bolingbrook,,"$172,000",, 1,,248 Oak Ridge Ct 60440,3.0,1,"1,128",,, 1,, 6, 0,,,," $3,737.14"

"Attached Single Family, Townhouse (2 Story)",$145/month,1968,Bolingbrook,,"$109,900",, 2,,424 Hallmark Ln 60440,3.0,2,"1,100",,, 2,, 0, 0,,,," $1,449.76"

"Detached Single Family, 1 Story",,2003,Bolingbrook,,"$279,900",, 2, BOLINGBROOK HIGH SCHOOL,208 Palmer Dr 60490,4.0,3,"1,900",,, 3,, 4, 12,,,," $8,699"

"Detached Single Family, 2 Stories",,1988,Bolingbrook,,"$274,000",, 2,,1400 Canyon Ct 60490,4.0,2.5,"2,417",,, 2, 1, 8, 0,,,," $8,172.30"

"Attached Single Family, Townhouse (2 Story)",$140/month,1968,Bolingbrook,,"$130,000",, 2,,408 Wellington Ln 60440,4.0,2.5,"1,224",,, 2, 1, 12, 0,,,," $2,394.78"

"Detached Single Family, 2 Stories",$29/month,2008,Bolingbrook,,"$362,000",, 3,,1275 Winding Way 60490,5.0,3,"3,356",,, 3,, 0, 0,,,," $9,711"

Condo,$215/month,2003,Bolingbrook,,"$185,000",, 2,,133 Enclave Cir 60440,3.0,2.5,"1,873",,, 2, 1, 12, 0,,,," $3,973.40"

Condo,$184/month,1973,Bolingbrook,,"$127,900",, 1,,236 Algonquin Ct 60440,2.0,1,,,, 1,, 0, 0,,,," $1,626.98"

"Detached Single Family, Raised Ranch",,1973,Bolingbrook,,"$245,000",, 2,,532 Cottonwood Cir 60440,4.0,3,"2,655",,, 3,, 10, 8,,,," $6,079"

"Detached Single Family, 2 Stories",,1992,Bolingbrook,,"$229,900",, 2,,2 Buckboard Ct 60490,3.0,2.5,"1,742",,, 2, 1, 12, 0,,,," $6,432"

"Detached Single Family, 2 Stories",,1999,Bolingbrook,,"$282,000",, 2, Plainfield East High School,720 Countryside Dr 60490,4.0,2.5,"2,000",,, 2, 1, 10, 0,,,," $6,728.20"

"Detached Single Family, 2 Stories",,1964,Bolingbrook,,"$220,000",, 1, BOLINGBROOK HIGH SCHOOL,108 Stoneham Ct 60440,5.0,3,"1,582",,, 3,, 6, 14,,,," $4,929.16"

Condo,$145/month,1968,Bolingbrook,,"$125,000",, 2, Bolingbrook High School,421 Wellington Ln 60440,3.0,1.5,"1,280",,, 1, 1, 6, 0,,,," $2,553.50"

"Detached Single Family, Split-Level with Sub-Basement",$13/month,2002,Bolingbrook,,"$279,500",, 2, Plainfield East High School,1539 Farmside Ln 60490,3.0,2.5,"1,701",,, 2, 1, 12, 0,,,," $8,242.56"

"Attached Single Family, Townhouse (2 Story)",$177/month,1973,Bolingbrook,,"$130,000",, 1,,513 Dubois Cir 60440,2.0,1.5,"1,180",,, 1, 1, 8, 0,,,," $3,504.82"

"Attached Single Family, 1/2 Duplex",$150/month,2000,Bolingbrook,,"$207,000",, 2, BOLINGBROOK HIGH SCHOOL,538 Pinebrook Dr 60490,2.0,2.5,"1,484",,, 2, 1, 10, 0,,,," $5,812"

"Detached Single Family, 2 Stories",,1979,Bolingbrook,,"$253,000",, 2, BOLINGBROOK HIGH SCHOOL,654 Feather Sound Dr 60440,4.0,2.5,"2,132",,, 2, 1, 10, 8,,,," $7,098.42"

"Detached Single Family, Raised Ranch",,1975,Bolingbrook,,"$192,000",, 1, BOLINGBROOK HIGH SCHOOL,472 Falconridge Way 60440,3.0,1.5,"1,726",,, 1, 1, 10, 0,,,," $4,800.30"

"Detached Single Family, 2 Stories",$25/month,2001,Bolingbrook,,"$379,000",, 3, PLAINFIELD EAST HIGH SCHOOL,1410 Somerfield Dr 60490,4.0,3.5,"3,400",,, 3, 1, 18, 6,,,," $9,736.60"

Other,,,,,"$400,000",,,,2064 John Paul Jones Ln 60490,,,"2,172",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",$17/month,2015,Bolingbrook,,"$357,000",, 2, PLAINFIELD EAST HIGH SCHOOL,5 Leeds Ct 60490,3.0,2.5,"2,650",,, 2, 1, 16, 10,,,," $9,391.76"

Single Family Residential,,1990,,,"$237,000",,,,169 Park Meadow Ln 60440,3.0,2.5,"1,675",,,,, 0, 0,,,,

Single Family Residential,,1990,,,"$245,000",,,,1122 Country Ridge Ln 60440,,2.5,"1,675",,,,, 0, 0,,,,

"Detached Single Family, 1 Story",,1970,Bolingbrook,,"$153,000",, 2.5, BOLINGBROOK HIGH SCHOOL,346 Hanover Dr 60440,3.0,1,,,, 1,, 8, 0,,,," $2,814"

"Attached Single Family, Townhouse (3+ Story)",$212/month,2003,Bolingbrook,,"$175,000",, 2,,152 Enclave Cir 60440,2.0,1.5,"1,845",,, 1, 1, 6, 4,,,," $3,641"

"Detached Single Family, Raised Ranch",,1973,Bolingbrook,,"$160,000",, 1,,212 Lexington Dr 60440,3.0,2,"1,584",,, 2,, 12, 0,,,," $4,564.04"

"Detached Single Family, 2 Stories",,1998,Bolingbrook,,"$190,000",, 2,,324 Grand Canyon Dr 60440,4.0,2.5,"2,170",,, 2, 1, 8, 4,,,," $7,023"

"Detached Single Family, 2 Stories",$29/month,2005,Bolingbrook,,"$595,000",, 3, NEUQUA VALLEY HIGH SCHOOL,7 Duval Ct 60490,7.0,4.5,"4,003",,, 4, 1, 26, 10,,, 1907," $15,054"

"Attached Single Family, Townhouse (2 Story)",$177/month,1972,Bolingbrook,,"$174,900",, 1,,226 Monroe Rd 60440,3.0,1.5,"1,350",,, 1, 1, 6, 0,,,," $3,683.44"

"Detached Single Family, 1 Story",,1977,Bolingbrook,,"$171,596",, 2,,102 Concord Ln 60440,3.0,2,"1,587",,, 2,, 0, 0,,,," $6,915.86"

"Attached Single Family, Townhouse (2 Story)",$168/month,2001,Bolingbrook,,"$199,000",, 2, BOLINGBROOK HIGH SCHOOL,393 Aaron Ln 60440,3.0,1.5,"1,768",,, 1, 1, 4, 8,,,," $6,314.48"

"Detached Single Family, 2 Stories",,1995,Bolingbrook,,"$330,000",, 3, NEUQUA VALLEY HIGH SCHOOL,1913 Apple Valley Rd 60490,4.0,2.5,"2,425",,, 2, 1, 0, 0,,,," $8,086.82"

"Attached Single Family, Townhouse (2 Story)",$145/month,1970,Bolingbrook,,"$147,000",, 2, BOLINGBROOK HIGH SCHOOL,460 Yorkshire Sq 60440,4.0,1.5,"1,610",,, 1, 1, 8, 6,,,," $2,062"

"Detached Single Family, 2 Stories",$25/month,2000,Bolingbrook,,"$350,000",, 3, PLAINFIELD EAST HIGH SCHOOL,1397 Glenside Dr 60490,4.0,2.5,"2,660",,, 2, 1, 20, 0,,,," $9,091"

"Detached Single Family, 2 Stories",$12/month,2003,Bolingbrook,,"$227,000",, 2, BOLINGBROOK HIGH SCHOOL,363 Deering Ln 60440,3.0,2.5,"1,716",,, 2, 1, 8, 10,,,," $8,933.60"

"Detached Single Family, 2 Stories",,1991,Bolingbrook,,"$300,000",, 2, Bolingbrook High School,296 Green Mountain Dr 60440,4.0,4,"2,881",,, 4,, 6, 18,,,," $7,540.78"

"Detached Single Family, Raised Ranch",,1969,Bolingbrook,,"$165,000",, 1,,157 Sunset Ln 60440,3.0,2,"1,500",,, 2,, 0, 0,,,," $4,601.06"

"Attached Single Family, Townhouse (2 Story)",$175/month,1996,Bolingbrook,,"$165,000",, 2,,337 Harmony Ct 60440,2.0,1.5,"1,312",,, 1, 1, 0, 0,,,," $2,824.34"

"Detached Single Family, Split-Level",,1977,Bolingbrook,,"$209,000",, 1, BOLINGBROOK HIGH SCHOOL,244 N Lancaster Dr 60440,4.0,2.5,"1,881",,, 2, 1, 8, 6,,,," $4,661"

"Detached Single Family, 1 Story",,1972,Bolingbrook,,"$142,000",, 2.5, Bolingbrook High School,135 Creekside Dr 60440,3.0,1,864,,, 1,, 0, 10,,,," $3,006.90"

Single Family Residential,,1995,,,"$288,000",,,,219 Periwinkle Ln 60490,3.0,2.5,"1,782",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",$24/month,2004,Bolingbrook,,"$324,900",, 2, BOLINGBROOK HIGH SCHOOL,166 S Cranberry St 60490,4.0,3.5,"2,470",,, 3, 1, 16, 6,,,," $10,818.94"

"Detached Single Family, 2 Stories",,1997,Bolingbrook,,"$239,000",, 2, BOLINGBROOK HIGH SCHOOL,494 Larkspur Dr 60440,3.0,2.5,"1,657",,, 2, 1, 12, 0,,,," $6,153.50"

"Detached Single Family, Split-Level",,1983,Bolingbrook,,"$230,000",, 2, BOLINGBROOK HIGH SCHOOL,312 Janes Ave 60440,3.0,2,"1,512",,, 2,, 0, 14,,,," $4,939.90"

Other,,1965,,,"$95,000",,,,674 Lily Cache Ln 60440,,1,"1,290",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",$12/month,2003,Bolingbrook,,"$285,000",, 3,,169 Christine Way 60440,4.0,2.5,"2,351",,, 2, 1, 8, 14,,,," $10,147"

"Detached Single Family, Raised Ranch",,1976,Bolingbrook,,"$200,000",, 1,,337 Appling Ln 60440,3.0,2,"1,842",,, 2,, 4, 0,,,," $4,177.44"

"Detached Single Family, 2 Stories",,1993,Bolingbrook,,"$262,500",, 2.5, BOLINGBROOK HIGH SCHOOL,1448 Comanche Dr 60490,3.0,2,"1,975",,, 2,, 12, 0,,,," $6,217.82"

"Detached Single Family, 1 Story",$25/month,2001,Bolingbrook,,"$246,000",, 2, PLAINFIELD EAST HIGH SCHOOL,799 Sapphire Dr 60490,3.0,2,"1,401",,, 2,, 2, 14,,, 1401," $6,333.48"

"Detached Single Family, Raised Ranch",,1970,Bolingbrook,,"$223,500",, 4, BOLINGBROOK HIGH SCHOOL,429 Cumberland Ln 60440,4.0,1.5,"1,900",,, 1, 1, 8, 0,,,," $4,621.42"

"Detached Single Family, 1 Story",,1972,Bolingbrook,,"$212,000",, 2,,417 Assembly Dr 60440,3.0,2,"1,587",,, 2,, 6, 0,,,," $5,391"

"Attached Single Family, Townhouse (2 Story)",$186/month,1972,Bolingbrook,,"$178,000",, 1,,553 Leslie Ln 60440,3.0,2.5,"1,460",,, 2, 1, 6, 0,,,," $3,940.44"

"Detached Single Family, Split-Level",,1966,Bolingbrook,,"$210,000",, 1.5,,249 Cedarwood Ave 60440,3.0,1.5,"1,800",,, 1, 1, 6, 0,,,," $3,361.28"

"Detached Single Family, 1 Story",,1962,Bolingbrook,,"$160,000",, 6,,144 Cypress Dr 60440,3.0,1.5,"1,162",,, 1, 1, 6, 0,,,," $3,543.84"

Single Family Residential,,1998,,,"$220,000",,,,542 Greystone Ln 60440,,4,"1,701",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",,1976,Bolingbrook,,"$205,000",, 2, BOLINGBROOK HIGH SCHOOL,1144 Bramble Ave 60490,4.0,2.5,"2,049",,, 2, 1, 8, 8,,,," $5,573.50"

"Attached Single Family, Townhouse (2 Story)",$212/month,2002,Bolingbrook,,"$177,000",, 2, BOLINGBROOK HIGH SCHOOL,116 Enclave Cir 60440,2.0,1.5,"1,500",,, 1, 1, 8, 4,,,," $3,764.26"

Townhouse,,1973,,,"$100,300",,,,23 Hywood Ln 60440,3.0,1.5,"1,034",,,,, 0, 0,,,,

Condo/Co-op,,2004,,,"$192,000",,,,1522 Envee Dr 60490,,2.5,"1,438",,,,, 0, 0,,,,

"Detached Single Family, Split-Level with Sub-Basement",,1977,Bolingbrook,,"$235,000",, 2, BOLINGBROOK HIGH SCHOOL,616 Keystone Dr 60440,3.0,2.5,"2,506",,, 2, 1, 12, 4,,,," $7,906.34"

"Detached Single Family, 2 Stories",,1994,Bolingbrook,,"$244,100",, 2, Bolingbrook High School,1388 Lily Cache Ln 60490,3.0,2.5,"1,623",,, 2, 1, 8, 4,,, 990," $7,474.74"

"Detached Single Family, 2 Stories",$25/month,2000,Bolingbrook,,"$295,000",, 2, PLAINFIELD EAST HIGH SCHOOL,738 Glenside Cir 60490,5.0,3.5,"2,250",,, 3, 1, 0, 0,,,," $8,163.48"

"Detached Single Family, 2 Stories",$7/month,1997,Bolingbrook,,"$380,000",, 2, NEUQUA VALLEY HIGH SCHOOL,1815 Marne Rd 60490,4.0,2.5,"2,788",,, 2, 1, 12, 6,,,," $10,027.28"

"Attached Single Family, Townhouse (2 Story)",$187/month,1974,Bolingbrook,,"$169,900",, 1, Bolingbrook High School,196 Pamela Dr 60440,3.0,1.5,"1,180",,, 1, 1, 4, 0,,, 512," $3,676.12"

Condo,$162/month,2005,Bolingbrook,,"$197,000",, 2, BOLINGBROOK HIGH SCHOOL,1459 Shagbark Dr 60490,3.0,2.5,"1,438",,, 2, 1, 8, 0,,,," $5,813.50"

"Detached Single Family, 2 Stories",$17/month,2012,Bolingbrook,,"$358,000",, 3, PLAINFIELD EAST HIGH SCHOOL,536 Regal Ln 60490,3.0,2.5,"2,450",,, 2, 1, 6, 10,,,," $8,929.38"

"Detached Single Family, 2 Stories",,1996,Bolingbrook,,"$369,000",, 2, NAPERVILLE CENTRAL HIGH SCHOOL,529 Boardman Cir 60440,3.0,2.5,"2,454",,, 2, 1, 2, 14,,,," $9,266.06"

Other,,1978,,,"$248,000",,,,340 Grand Canyon Dr 60440,,2.5,"2,130",,,,, 0, 0,,,,

"Attached Single Family, 1/2 Duplex",,1979,Bolingbrook,,"$138,000",, 1,,214 Granada Ct 60440,3.0,2.5,"1,329",,, 2, 1, 6, 0,,,," $2,201.48"

