Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount,# of Rooms

Condo/Co-op,,,,,"$840,000",,,,1049 Sheridan Cir 60563,,,,,,,, 0, 0,,,,,

Single Family Residential,$9/month,1985,Eagle Chase,,,, 2, Naperville North High School,432 Lampwick Ct 60563,4.0,2.5,"3,136"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2," Full, English", Finished," 1,752"," $11,145.48", 13

Single Family Residential,,1976,Naper Carriage Hill,,,, 2, Naperville Central High School,416 Warwick Dr 60565,4.0,2.5,"1,990", Natural Gas, Central Air, 2, 1, 18, 0, Full, Partially Finished,," $7,867", 10

Single Family Residential,$19/month,1996,Clow Creek,,,, 3, Neuqua Valley High School,4028 Jersey Ct 60564,5.0,3.5,"3,180"," Natural Gas, Forced Air", Central Air, 3, 1, 26, 6, Full," Finished,Exterior Access",," $12,415.78", 16

Single Family Residential,,1985,,,"$370,000",,,,1335 Olympus Dr 60565,4.0,2,"2,161",,,,, 0, 0,,,,, 9

Condo/Co-op,,1997,,,"$241,000",,,,2827 Kentshire Ct 60564,2.0,2.5,"1,367",,,,, 0, 0,,,,, 5

Single Family Residential,,1973,Indian Hill,,"$400,000",, 2, Naperville North High School,1029 Kennebec Ln 60563,4.0,2.5,"2,181"," Natural Gas, Electric", Central Air, 2, 1, 0, 0, Partial, Finished,," $7,534.34", 9

Condo,$184/month,2000,Windridge,,"$220,000",, 1, Neuqua Valley High School,2459 Sheehan Dr 60564,2.0,2,"1,139", Natural Gas, Central Air, 2,, 0, 2,, Slab,," $3,990.94", 5

Condo,$246/month,1991,Foxcroft Condos,,"$172,000",, 2, Naperville Central High School,39 Foxcroft Rd 60565,2.0,1,900, Natural Gas, Central Air, 1,, 0, 0,, None,," $3,222.60", 5

Single Family Residential,$20/month,1995,Saddle Creek,,,, 2,,2040 Engle Rd 60564,4.0,2.5,"2,679"," Natural Gas, Forced Air", Central Air, 2, 1, 18, 4, Full, Finished, 600," $9,514.08", 12

Townhouse,$220/month,2022,Naperville Crossings,,,, 2, Waubonsie Valley High School,2923 Showplace Dr 60564,3.0,2.5,"2,047"," Natural Gas, Forced Air", Central Air, 2, 1, 6, 0,, None,,, 7

Single Family Residential,$87/month,1997,White Eagle,,"$885,000",, 3, Waubonsie Valley High School,2415 Fawn Lake Cir 60564,6.0,5,"4,828", Natural Gas, Central Air, 4, 2, 0, 2," Full, English", Finished," 2,361"," $19,405", 14

Single Family Residential,,,,,"$405,000",,,,523 S Webster St 60540,,,,,,,, 0, 0,,,,,

Single Family Residential,$49/month,1986,Hobson West,,"$592,500",, 2, Naperville Central High School,876 Plainfield Naperville Rd 60540,4.0,2.5,"2,611"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2, Full, Finished," 1,144"," $10,376.12", 11

Condo/Co-op,,2003,,,"$210,000",,,,2307 Sheehan Dr 60564,2.0,2.5,"1,270",,,,, 0, 0,,,,, 5

Condo/Co-op,,1991,,,"$450,000",,,,1492 Aberdeen Ct 60564,3.0,3,"2,577",,,,, 0, 0,,,,, 6

Condo,$245/month,1984,Old Sawmill,,"$169,000",, 1, Naperville Central High School,2158 Lancaster Cir 60565,2.0,1,924," Natural Gas, Forced Air", Central Air, 1,, 0, 0,, None,," $1,602.30", 5

Single Family Residential,$43/month,2015,Ashwood Pointe,,"$508,000",, 2, Waubonsie Valley High School,4315 Fraser Cir 60564,4.0,3,"2,443", Natural Gas, Central Air, 3,, 0, 0, Full, Unfinished,," $9,435", 8

Single Family Residential,,1985,Naperville,,,, 2, Naperville Central High School,117 S Stauffer Dr 60540,4.0,2.5,"2,566"," Natural Gas, Forced Air", Central Air, 2, 1, 8, 16, Full, Unfinished,," $10,714.88", 9

Single Family Residential,$13/month,1994,Lakewood Crossing,,,, 2, Metea Valley High School,1219 Samuel Ct 60540,3.0,2.5,"1,685"," Natural Gas, Electric", Central Air, 2, 1, 0, 0, Partial, Partially Finished,," $7,240", 7

Single Family Residential,$92/month,1998,Stillwater,,,, 3, Neuqua Valley High School,2403 Foxboro Ln 60564,4.0,2.5,"3,404", Natural Gas," Central Air, Zoned, Electric", 3, 1, 8, 8, Full, Unfinished,," $13,680.34", 11

Single Family Residential,,1973,Farmstead,,"$439,500",, 2, Naperville Central High School,1810 Deerpath Ct 60565,4.0,2.5,"2,047"," Natural Gas, Heat Pump", Central Air, 2, 1, 0, 0, Partial, Partially Finished, 863," $7,917", 9

Condo,$200/month,2000,Windridge,,,, 1,,2419 Sheehan Dr 60564,2.0,2,"1,304"," Natural Gas, Forced Air", Central Air, 2,, 0, 2,, None,," $3,787.38", 5

Other,,1956,,,"$400,000",,,,806 S Loomis St 60540,,1.5,"1,628",,,,, 0, 0,,,,,

Townhouse,$320/month,2018,Sedgwick,,,, 2, Metea Valley High School,821 Paisley Ct 60540,3.0,3.5,"2,408", Forced Air, Central Air, 3, 1, 12, 0,, None,," $9,179.64", 7

Townhouse,$385/month,1990,White Eagle,,"$410,000",, 2, Waubonsie Valley High School,4253 Stableford Ln 60564,3.0,2.5,"2,169"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2, Full, Unfinished,," $9,741.08", 7

Condo,,1981,Naperville,,"$118,500",,,,1203 Whispering Hills Ct 60540,2.0,1,886, Natural Gas,, 1,, 0, 0,, None,," $1,930.68", 5

Condo,$283/month,1983,Naperville,,,, 3, Naperville North High School,1233 Chalet Rd 60563,2.0,2,937," Natural Gas, Forced Air", Central Air, 2,, 6, 6,, None,," $2,157", 5

Condo,$309/month,1991,Foxcroft Condos,,"$191,000",, 2, Naperville Central High School,35 Foxcroft Rd 60565,2.0,1.5,"1,185"," Natural Gas, Forced Air", Central Air, 1, 1, 0, 0,, None,," $3,668.22", 5

Condo/Co-op,,2002,,,"$225,000",,,,2819 Rutland Cir 60564,,3,"1,304",,,,, 0, 0,,,,,

Condo,$201/month,1999,Naperville,,"$230,000",, 1, Neuqua Valley High School,2611 Cedar Glade Dr 60564,2.0,2,"1,139"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, Slab,," $3,990.94", 5

Single Family Residential,$83/month,2002,Stillwater,,"$679,900",, 3, Neuqua Valley High School,2408 Hillsboro Ln 60564,4.0,4,"3,183"," Natural Gas, Forced Air", Central Air, 3, 2, 0, 2, Full, Finished,," $14,354.90", 13

Single Family Residential,,1923,Naperville,,,, 2, Naperville North High School,116 E 11th Ave 60563,3.0,2,"1,176"," Natural Gas, Forced Air", Central Air, 2,, 0, 0," Full, English", Partially Finished,," $6,832.90", 6

Single Family Residential,,1986,Huntington Hills,,,, 3, Naperville North High School,609 Lynchburg Ct 60540,4.0,5.5,"4,402"," Natural Gas, Forced Air"," Central Air, Zoned", 5, 1, 10, 14, Full, Finished," 2,015"," $16,420.40", 10

Single Family Residential,,1991,,,"$525,000",,,,931 Sanctuary Ln 60540,4.0,2.5,"2,720",,,,, 0, 0,,,,, 9

Single Family Residential,$87/month,1992,White Eagle,,"$570,000",, 3, Waubonsie Valley High School,1451 Frenchmans Bend Dr 60564,4.0,3,"3,091"," Natural Gas, Forced Air", Central Air, 3,, 0, 2, Partial," Partially Finished,Crawl",," $12,030.16", 12

Single Family Residential,,2008,Cress Creek,,"$1,300,000",, 3, Naperville North High School,1041 Royal St George Dr 60563,5.0,5,"6,586"," Natural Gas, Forced Air, Zoned"," Central Air, Zoned", 5,, 2, 2, Full," Partially Finished,Bathroom Rough-In,Egress Window,Concrete (Basement),Storage Space",," $31,975.56", 12

Condo,$402/month,1996,Naperville,,"$235,000",, 1,,5S551 Paxton Dr 60563,3.0,2,"1,510"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, None,," $2,034", 6

Townhouse,$240/month,1994,Burlington Woods,,,, 2, Metea Valley High School,2007 Yellow Daisy Ct 60563,3.0,3.5,"1,700"," Natural Gas, Forced Air", Central Air, 3, 1, 0, 0, Full, Finished,," $5,763.28", 7

Single Family Residential,$61/month,2000,Tall Grass,,,, 3, Waubonsie Valley High School,3604 Tall Grass Dr 60564,5.0,3.5,"2,831"," Natural Gas, Forced Air", Central Air, 3, 1, 14, 10, Full, Finished," 1,548"," $11,454.88", 12

Single Family Residential,$122/month,2016,Ashwood Park,,"$1,425,000",, 5, Waubonsie Valley High School,4504 Chinaberry Ln 60564,6.0,5.5,"5,723", Natural Gas, Central Air, 5, 1, 0, 2, Full, Finished,," $23,627.42", 13

Single Family Residential,,,,,"$340,000",,,,906 Bradford Dr 60563,,,,,,,, 0, 0,,,,,

Single Family Residential,$158/month,2019,Ashwood Crossing,,"$525,000",, 2,,4019 Lobo Ln 60564,2.0,3.5,"2,467"," Natural Gas, Forced Air", Central Air, 3, 1, 0, 2, Full, Finished,," $10,992", 8

Single Family Residential,$17/month,1973,Huntington,,,, 2, Naperville North High School,6S524 Millcreek Ln 60540,4.0,2.5,"2,573", Natural Gas, Central Air, 2, 1, 18, 6, Partial," Finished,Crawl",," $9,412.32", 9

Single Family Residential,$48/month,2015,Ashwood Pointe,,,, 2, Waubonsie Valley High School,3528 Birch Ln 60564,5.0,3.5,"3,986"," Natural Gas, Forced Air", Central Air, 3, 1, 8, 12, Full, Finished," 1,280"," $10,129.44", 11

Townhouse,$326/month,2022,Naper Commons,,,, 2, Wheaton Warrenville South H S,1267 Josiah RD 60563,2.0,2,"2,600", Natural Gas, Central Air, 2,, 0, 0, Full, Unfinished,,, 7

Single Family Residential,$87/month,1990,White Eagle,,,, 3, Waubonsie Valley High School,2212 Sable Oaks Dr 60564,5.0,5,"3,767"," Natural Gas, Forced Air, Zoned"," Central Air, Zoned", 5,, 20, 10, Full, Finished," 1,472"," $14,331.94", 14

Single Family Residential,,1991,Naperville,,,, 2,,1752 Coach Dr 60565,3.0,2.5,"2,176", Forced Air, Central Air, 2, 1, 0, 0,, None,," $7,895.58", 9

Single Family Residential,,1983,Spring Hill,,,, 2, Naperville North High School,1144 Greensfield Dr 60563,3.0,1.5,"1,602", Natural Gas, Central Air, 1, 1, 0, 0,, Slab,," $5,798.04", 7

Townhouse,$309/month,1997,Carrolwood,,,, 2,,2579 Arcadia Cir 60540,2.0,2.5,"1,326", Forced Air, Central Air, 2, 1, 4, 0,, None,," $4,398.56", 5

Townhouse,$295/month,2017,Emerson Park,,,, 2, Waubonsie Valley High School,4336 Monroe Ave 60564,2.0,2.5,"1,550", Natural Gas, Central Air, 2, 1, 4, 8,, Slab,," $5,967", 5

Condo/Co-op,,1980,,,"$100,000",,,,5S066 Pebblewood Ln 60563,1.0,1,780,,,,, 0, 0,,,,,

Townhouse,$250/month,2000,Signature Club,,,, 2, Waubonsie Valley High School,3210 Cool Springs Ct 60564,3.0,2.5,"2,012"," Natural Gas, Forced Air", Central Air, 2, 1, 10, 12, Full, Finished, 851," $6,346.36", 8

Single Family Residential,$43/month,2017,Ashwood Pointe,,"$525,000",, 2, Waubonsie Valley High School,3404 Birch Ln 60564,5.0,3.5,"2,697", Natural Gas, Central Air, 3, 1, 0, 0, Full, Finished," 1,350"," $10,102.82", 8

Other,,1995,,,"$296,500",,,,3803 Capri Ct 60564,,2.5,"1,806",,,,, 0, 0,,,,,

Townhouse,$380/month,1994,White Eagle,,"$365,000",, 2, Waubonsie Valley High School,1463 Aberdeen Ct 60564,2.0,3,"1,363", Natural Gas, Central Air, 2, 2, 0, 2," Full, English", Finished, 655,, 9

Single Family Residential,$16/month,1999,Plainfield,,"$400,000",, 2,,24037 W Winners Cir Ct 60585,4.0,2.5,"3,813", Natural Gas, Central Air, 2, 1, 2, 0, Full," Finished,Storage Space"," 1,390"," $7,541.02", 10

Single Family Residential,,1975,,,"$475,000",,,,525 Ticonderoga Ln 60563,,2.5,"2,911",,,,, 0, 0,,,,,

Single Family Residential,,1984,Brook Crossing,,"$378,000",, 2, Neuqua Valley High School,2607 Homestead Dr 60564,4.0,3,"2,418", Natural Gas, Central Air, 2, 2, 0, 2, Partial, Finished,," $7,738.94", 8

Single Family Residential,$56/month,2020,Wagner Farms,,"$559,594",, 2, Neuqua Valley High School,2971 Lancelot Ln 60564,3.0,2.5,"2,386", Natural Gas, Central Air, 2, 1, 0, 0, Full, Unfinished,,, 9

Multi-Family (2-4 Unit),,2005,,,"$635,000",,,,308 N Fremont St 60540,3.0,2.5,"3,292",,,,, 0, 0,,,,, 7

Single Family Residential,$33/month,1998,Naperville,,,, 3, Naperville North High School,819 Century Farm Ln 60563,4.0,2.5,"3,179", Natural Gas, Central Air, 2, 1, 0, 2, Full, Partially Finished,," $11,840.26", 12

Single Family Residential,,1948,Naperville,,,, 2.5, Naperville North High School,1226 N Webster St 60563,3.0,2,"1,408"," Natural Gas, Forced Air", Central Air, 2,, 6, 4, Full, Unfinished, 688," $5,784.94", 6

Condo,$481/month,2020,Naperville,,,, 2, Naperville North High School,110 S Washington St 60540,3.0,3,"2,312", Natural Gas, Central Air, 3,, 0, 12,, None,, $979, 6

Single Family Residential,,1974,Maplebrook II,,,, 2, Naperville Central High School,49 Kinglet Ct 60565,4.0,2.5,"2,212"," Natural Gas, Forced Air", Central Air, 2, 1, 16, 0, Full," Finished,Crawl",," $8,256", 11

Condo/Co-op,,,,,"$244,000",,,,2464 Golf Ridge Cir 60563,,,,,,,, 0, 0,,,,,

Townhouse,$389/month,2008,Carillon Club,,"$340,000",, 2,,2844 Normandy Cir 60564,2.0,2,"1,542"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, Crawl,," $6,345", 5

Single Family Residential,,1993,,,"$580,000",,,,5S557 Arlington Ave 60540,,3,"2,646",,,,, 0, 0,,,,,

Single Family Residential,,1968,Saybrook,,,, 2, Naperville North High School,408 E Bauer Rd 60563,4.0,3,"2,723"," Natural Gas, Forced Air", Central Air, 3,, 0, 26, Full, Unfinished,," $10,233.96", 11

Townhouse,,2002,,,"$677,500",,,,123 Spring Ave 60540,3.0,3,"2,717",,,,, 0, 0,,,,, 7

Townhouse,$220/month,2021,Naperville,,"$425,000",, 2, Waubonsie Valley High School,2935 Showplace Dr 60564,3.0,3,"2,222"," Natural Gas, Forced Air", Central Air, 2, 2, 0, 2,, None,,, 7

Condo,$311/month,1991,Foxcroft Condos,,"$200,000",, 2, Naperville Central High School,39 Foxcroft Rd 60565,2.0,2,957," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, None,," $3,370.96", 5

Single Family Residential,$20/month,1997,Saddle Creek,,,, 3, Neuqua Valley High School,4804 Snapjack Cir 60564,4.0,3.5,"3,146", Natural Gas, Central Air, 3, 1, 22, 4, English, Finished,," $11,040.56", 13

Single Family Residential,,1955,,,"$1,041,667",,,,835 Wilson Ave 60540,3.0,1,"1,658",,,,, 0, 0,,,,, 8

Single Family Residential,,1984,Old Farm,,"$325,000",, 2, Neuqua Valley High School,457 Massachusetts Ave 60565,3.0,2,"1,574"," Natural Gas, Forced Air", Central Air, 2,, 2, 0,, None,," $5,996.32", 6

Single Family Residential,,1987,Springbrook Crossing,,"$316,500",, 2, Neuqua Valley High School,2220 Mecan Dr 60564,3.0,2,"1,335", Natural Gas, Central Air, 2,, 0, 0, Full, Unfinished,," $7,094.30", 5

Single Family Residential,$265/month,2017,Carillon Club,,"$609,000",, 2, Waubonsie Valley High School,3751 Chesapeake Ln 60564,2.0,2.5,"2,455"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Partial," Unfinished,Crawl",," $11,024", 7

Condo,$328/month,1986,Winchester Place,,"$220,000",, 1, Naperville Central High School,90 Midhurst Ct 60565,3.0,2,"1,338", Natural Gas, Central Air, 2,, 0, 0,, None,," $3,584.62", 6

Single Family Residential,,1973,Farmstead,,"$425,000",, 2.5, Naperville Central High School,937 E Bailey Rd 60565,3.0,2,"1,500"," Natural Gas, Forced Air", Central Air, 2,, 0, 2,, Crawl,," $6,793.72", 6

Single Family Residential,,1910,Naperville,,"$940,000",, 2, Naperville North High School,23 Columbia St 60540,4.0,3,"4,026", Radiator(s), Space Pac, 2, 2, 0, 2, Full, Unfinished," 1,231"," $16,005", 12

Single Family Residential,,2017,East Highlands,,,, 3, Naperville Central High School,712 Wellner Rd 60540,5.0,5,"3,827", Natural Gas," Central Air, Zoned", 5,, 0, 16, Full, Finished," 1,864"," $21,798.28", 12

Condo,$325/month,1980,Naperville,,,, 2, Naperville North High School,1052 N Mill St 60563,1.0,1,776, Baseboard,, 1,, 0, 8,, None,," $1,634.50", 4

Townhouse,$260/month,2016,Mayfair,,"$349,000",, 2,,2925 Henley Ln 60540,2.0,2.5,"1,910"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2,, None,," $7,670.86", 7

Single Family Residential,,1985,,,"$358,000",,,,2664 Rolling Meadows Dr 60564,,2,"1,271",,,,, 0, 0,,,,,

Condo/Co-op,,1996,,,"$230,000",,,,3030 Kentshire Cir 60564,2.0,2,"1,414",,,,, 0, 0,,,,, 6

Single Family Residential,$167/month,1999,Rivermist II,,"$1,360,000",, 3, Naperville Central High School,107 Settlers Dr 60565,4.0,6,"6,333", Natural Gas, Central Air, 5, 2, 0, 2," Full, Walkout"," Finished,9 ft + pour"," 2,800"," $24,840.44", 13

Condo/Co-op,,1990,,,"$260,000",,,,872 Quin Ct 60563,2.0,2,"1,491",,,,, 0, 0,,,,, 4

Townhouse,$289/month,2002,Enclave at Country Lakes,,"$216,000",, 1, Metea Valley High School,2454 Golf Ridge Cir 60563,2.0,2.5,"1,412"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0,, None,," $4,721.96", 5

Single Family Residential,,1984,,,"$550,000",,,,1511 Abbotsford Dr 60563,4.0,2.5,"2,146",,,,, 0, 0,,,,,

Condo/Co-op,,1985,,,"$133,500",,,,1509 Raymond Dr 60563,1.0,1,675,,,,, 0, 0,,,,, 3

Townhouse,$280/month,2016,Mayfair,,,, 2, Metea Valley High School,2929 Henley Ln 60540,2.0,2.5,"1,783", Natural Gas, Central Air, 2, 1, 8, 10,, None,," $6,920.60", 7

Townhouse,$250/month,2001,Signature Club,,"$308,000",, 2, Waubonsie Valley High School,3234 Cool Springs Ct 60564,3.0,2.5,"1,975"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Full, Unfinished,," $6,279", 8

Single Family Residential,,1960,Naperville,,"$275,000",, 2,,5S438 Glenoban Dr 60563,3.0,2.5,"1,512", Natural Gas, Central Air, 2, 1, 0, 0, Full, Finished,," $4,945.10", 5

Townhouse,$389/month,2012,Carillon Club,,"$410,000",, 2,,4022 Chapel Hill Ave 60564,3.0,2,"1,885"," Natural Gas, Forced Air", Central Air, 2,, 2, 2,, Slab,," $7,105.64", 7

Townhouse,$400/month,2003,Naperville Station,,"$510,000",, 2, Naperville North High School,207 Boxcar Ave 60540,2.0,4,"2,205"," Natural Gas, Forced Air", Central Air, 3, 2, 0, 2, Full, Finished,," $9,666.82", 8

Condo,$326/month,1995,Creekside,,"$220,000",, 1, Naperville North High School,960 West Ct 60563,3.0,2,"1,328"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, None,," $3,409.32", 7

Condo/Co-op,,1999,,,"$197,000",,,,2863 Stonewater Dr 60564,2.0,1.5,929,,,,, 0, 0,,,,,

Condo/Co-op,,1991,,,"$125,333",,,,43 Foxcroft Rd 60565,,1.5,"1,080",,,,, 0, 0,,,,,

Other,,1993,,,"$448,000",,,,3732 Parador Dr 60564,,2.5,"2,994",,,,, 0, 0,,,,,

Single Family Residential,,1981,Brookdale,,"$330,000",, 2, Metea Valley High School,1000 Churchill Dr 60563,3.0,1.5,"1,570", Natural Gas, Central Air, 1, 1, 0, 0,, None,," $6,556.10", 7

Condo/Co-op,,2001,,,"$238,000",,,,2904 White Thorn Cir 60564,,2.5,"1,395",,,,, 0, 0,,,,,

Single Family Residential,,1973,Naperville,,"$335,000",, 2, Neuqua Valley High School,24448 Boulevard de John 60564,3.0,2,"2,540"," Natural Gas, Forced Air", Central Air, 2,, 0, 2, Full," Unfinished,Crawl,Egress Window", 744," $7,828.40", 8

Single Family Residential,,1923,Naperville,,"$315,000",, 3, Naperville North High School,826 N Center St 60563,3.0,1,"1,350"," Natural Gas, Forced Air", Central Air, 1,, 0, 2, Full, Unfinished,," $7,027.42", 6

Single Family Residential,,1967,Kings Terrace,,"$374,000",, 2, Naperville North High School,1149 Jane Ave 60540,3.0,2,"2,131"," Natural Gas, Forced Air", Central Air, 2,, 0, 2,, Crawl,," $6,760.06", 7

Condo,$403/month,1980,Naperville,,"$130,000",, 2,,5s100 Pebblewood Ln 60563,2.0,1.5,"1,047", Natural Gas, Central Air, 1, 1, 0, 0,, None,," $2,497", 5

Single Family Residential,,1960,Longwood,,,, 1, Metea Valley High School,5S408 Glenoban Dr 60563,3.0,2.5,"1,760"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 14, Partial, Partially Finished,," $4,194.24", 8

Single Family Residential,$62/month,1996,Naperville,,"$540,000",, 3, Waubonsie Valley High School,3624 White Eagle Dr 60564,4.0,4,"3,057", Natural Gas, Central Air, 4,, 0, 0, Full, Finished," 1,507"," $13,173", 9

Single Family Residential,,1985,Naperville,,,, 2, Naperville Central High School,1317 Frederick Ln 60565,4.0,2.5,"2,227"," Natural Gas, Forced Air", Central Air, 2, 1, 16, 0, Full, Finished, 986," $6,946", 9

Townhouse,$23/month,1982,Hobson Creek,,,, 2, Naperville North High School,7S481 Creek Dr 60540,3.0,2.5,"1,698"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2, Full, Partially Finished,," $5,368.32", 7

Condo/Co-op,,1985,,,"$120,000",,,,1569 Raymond Dr 60563,1.0,1,675,,,,, 0, 0,,,,, 3

Single Family Residential,,1989,Riverwoods,,,, 2, Naperville Central High School,105 Arlington Ave 60565,4.0,2.5,"3,211"," Natural Gas, Forced Air", Central Air, 2, 1, 2, 22, Full, Finished, 777," $11,791", 11

Single Family Residential,$33/month,1978,Huntington Estates,,,, 2, Naperville North High School,856 Rossmere Ct 60540,4.0,2.5,"2,673"," Natural Gas, Forced Air", Central Air, 2, 1, 6, 20, Full," Finished,8 ft + pour,Rec/Family Area"," 1,461"," $10,074", 10

Single Family Residential,,1983,Yorkshire Manor,,,, 2, Naperville North High School,1041 Buckingham Dr 60563,4.0,3.5,"2,379"," Natural Gas, Forced Air", Central Air, 3, 1, 0, 2, Full, Finished,," $9,680.44", 11

Single Family Residential,,1984,Brookdale,,,, 2, Metea Valley High School,1616 Trent Ave 60563,3.0,2.5,"2,351"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2, Full," Finished,Rec/Family Area,Storage Space", 860," $9,327", 9

Townhouse,$306/month,2016,Naperville,,,, 2,,1413 N Charles Ave 60563,2.0,2.5,"1,600", Natural Gas, Central Air, 2, 1, 0, 0, English, Finished,," $7,715.60", 6

Single Family Residential,,1954,Naperville,,"$550,000",, 2,,419 Highland Ave 60540,3.0,1.5,"2,045"," Natural Gas, Forced Air", Central Air, 1, 1, 0, 0, Full, Unfinished,," $10,748.62", 3

Townhouse,$13/month,1996,Naperville,,"$260,000",, 1, Neuqua Valley High School,2715 Loveland St 60564,3.0,2.5,"1,502", Natural Gas, Central Air, 2, 1, 0, 0,, None,," $4,799.82", 7

Condo/Co-op,,1986,,,"$250,000",,,,511 Aurora Ave 60540,2.0,2,"1,192",,,,, 0, 0,,,,, 5

Condo,$288/month,1985,Naperville,,,, 2, Waubonsie Valley High School,1543 Raymond Dr 60563,2.0,1,809, Natural Gas, Central Air, 1,, 0, 0,, None,," $2,412.72", 5

Single Family Residential,,1988,Naperville,,"$561,500",, 2.5, Naperville North High School,5S537 Arlington Ave 60540,4.0,3,"2,972", Natural Gas, Central Air, 3,, 0, 2, Full, Unfinished," 1,177"," $11,886.16", 8

Townhouse,$253/month,2001,Enclave at Country Lakes,,"$212,000",, 1, Metea Valley High School,2418 Golf Ridge Cir 60563,2.0,2,"1,196"," Natural Gas, Forced Air", Central Air, 2,, 0, 2,, Slab,," $4,233.90", 5

Townhouse,$226/month,2021,Warrenville,,,, 2, Wheaton Warrenville South H S,3S514 Lambe Ln 60563,3.0,2.5,"2,558"," Natural Gas, Electric, Forced Air", Central Air, 2, 1, 0, 8, Full, Unfinished,,, 6

Other,,1999,,,"$738,000",,,,2259 Glouceston Ln 60564,4.0,3.5,"3,595",,,,, 0, 0,,,,, 10

Townhouse,$305/month,1998,Riverbrook,,,, 1, Metea Valley High School,1312 Woodchuck Ln 60563,2.0,1.5,"1,406", Natural Gas, Central Air, 1, 1, 6, 0,, Slab,," $4,301.64", 5

Townhouse,$187/month,1986,Naperville,,"$350,000",, 2, Naperville Central High School,513 River Front Cir 60540,2.0,2.5,"1,544", Natural Gas, Central Air, 2, 1, 0, 2, Full, Unfinished,," $7,761.44", 6

Townhouse,$421/month,2007,Carillon Club,,,, 2,,2821 Normandy Cir 60564,3.0,2,"1,884", Natural Gas, Central Air, 2,, 0, 0,, Slab,," $6,901.86", 7

Condo,$210/month,1998,Crosswinds,,,, 1, Neuqua Valley High School,2949 Kentshire Cir 60564,2.0,1,"1,142"," Natural Gas, Forced Air", Central Air, 1,, 0, 0,, None,," $3,528.26", 5

Condo,$205/month,2000,Kingspointe,,,, 2, Metea Valley High School,1061 Sheridan Cir 60563,2.0,2.5,"1,552", Natural Gas, Central Air, 2, 1, 8, 0,, None,," $4,936.82", 5

Townhouse,$260/month,2018,Sedgwick,,"$450,000",, 2, Metea Valley High School,809 Paisley Ct 60540,3.0,3.5,"2,880", Forced Air, Central Air, 3, 1, 0, 2, Walkout, Finished, 940," $8,685.58", 6

Single Family Residential,$208/month,2006,Sutton Place,,"$1,500,000",, 3, Neuqua Valley High School,2608 Sutton Cir 60564,4.0,5.5,"5,224"," Natural Gas, Forced Air, Heat Pump, Indv Controls, Zoned"," Central Air, Zoned", 5, 1, 0, 2, Full, Finished,," $30,004", 14

Single Family Residential,,1958,Naperville,,"$355,000",, 2, Naperville North High School,4S614 Karns Rd 60563,4.0,2,"1,704"," Natural Gas, Forced Air", Central Air, 2,, 0, 0, Full, Finished,," $6,896", 11

Single Family Residential,$54/month,1994,Ashbury,,,, 3, Neuqua Valley High School,3844 Caine Ct 60564,5.0,3.5,"3,929"," Natural Gas, Forced Air", Central Air, 3, 1, 0, 30, Partial, Partially Finished,," $11,734.60", 12

Single Family Residential,,1979,Naper Carriage Hill,,,, 2, Naperville Central High School,198 Montrose Ct 60565,4.0,2.5,"2,260"," Natural Gas, Forced Air", Central Air, 2, 1, 10, 10, Full, Finished,," $8,848.06", 8

Single Family Residential,,1983,Buttonwood,,,, 2, Metea Valley High School,720 Clovetree Ct 60540,4.0,2.5,"3,239", Natural Gas, Central Air, 2, 1, 0, 2, Full, Unfinished,," $11,615.78", 10

Townhouse,$330/month,2017,English Rows,,"$496,000",, 2.5, Neuqua Valley High School,4180 Royal Mews Cir 60564,3.0,3,"2,781", Natural Gas, Central Air, 2, 2, 0, 2, Full, Unfinished,," $9,798.08", 8

Single Family Residential,,1964,Naperville,,"$640,000",, 2, Waubonsie Valley High School,27W161 80th St 60565,4.0,3,"2,443", Natural Gas, Central Air, 3,, 0, 2," Partial, English"," Partially Finished,Egress Window,Lookout"," 1,053"," $12,199.82", 10

